#{"t_start": 1780823610.8346288, "env_id": "None"}
r,l,t
0.69365,24,321.842179
0.314822,25,321.884217
-0.38084,22,321.91711
1.592589,30,321.968551
-0.563512,30,322.014908
0.374661,18,322.045105
0.505321,23,322.080297
-1.240239,25,322.119428
3.380225,21,322.152003
0.834434,18,322.183119
2.133759,30,322.228629
-0.931235,25,322.267832
3.222184,23,322.305866
2.229346,19,322.338398
1.017067,30,322.383525
-0.140088,30,322.43303
0.8184,22,322.466695
-4.47649,30,322.514437
-0.587045,30,322.560344
1.577609,13,322.583242
-0.63144,23,322.617946
0.244009,26,322.660293
-2.96141,26,322.699945
2.836468,28,322.745191
1.135959,19,322.776445
3.527683,23,322.814967
1.349602,26,322.85578
-1.892481,16,322.882567
-0.642921,30,322.933502
1.429145,14,322.953763
2.114006,20,322.986777
-2.347622,26,323.030352
-2.490113,23,323.066981
-0.504317,30,323.112338
0.101367,17,323.139277
0.829392,30,323.188784
1.151705,20,323.220231
-6.695848,30,323.266635
-11.513203,30,323.313627
2.727365,20,323.346442
-3.605953,30,323.390629
1.128155,24,323.429693
3.283717,30,323.479565
3.594632,13,323.50166
3.114493,30,323.550651
0.814927,30,323.59926
1.339131,20,323.631495
2.089385,30,323.681828
-0.726466,30,323.729841
2.787944,30,323.778957
-0.078231,24,323.817823
-1.107346,30,323.86553
3.634262,19,323.898114
0.941326,20,323.931603
3.451318,18,323.959906
0.918579,30,324.01037
2.751497,20,324.043468
1.489499,30,324.088106
-2.618249,30,324.13808
2.985094,20,324.170945
-0.598487,19,324.202914
-1.676804,17,324.230074
1.548841,15,324.256755
2.285922,30,324.304045
2.944586,25,324.344218
-0.160348,14,324.369414
2.252998,26,324.408167
-0.724863,30,324.455406
3.883909,21,324.48946
-3.726069,20,324.52053
1.60505,28,324.565797
1.279545,30,324.614347
3.558053,28,324.659061
3.216656,30,324.705237
-2.568502,26,324.747152
2.898887,18,324.777394
2.745865,30,324.825193
0.375242,28,324.869479
3.452092,24,324.907206
-6.16,30,324.952758
1.263437,30,325.001945
-3.025313,18,325.029882
3.315435,30,325.077737
1.553921,30,325.126445
0.963417,30,325.173132
3.035049,30,325.220244
0.642597,27,325.265775
1.709757,26,325.30845
3.348977,29,325.360595
2.120085,17,325.388803
-2.677451,29,325.433326
1.786711,18,325.463836
-5.402094,30,325.511531
-2.72915,28,325.555752
2.945774,21,325.588296
3.286016,22,325.625297
2.591438,16,325.652008
0.120466,30,325.697129
0.93546,14,325.720794
1.561713,21,325.752317
-2.455018,17,325.779565
2.116433,30,325.827451
3.5036,15,325.852732
1.738866,23,325.888931
3.010726,30,325.936965
1.32344,20,325.969912
2.905528,29,326.016196
2.283336,20,326.049927
2.219707,25,326.088696
3.021628,29,326.136922
4.109331,25,326.176752
-4.311006,29,326.222156
3.546898,22,326.259334
2.046719,28,326.3051
1.809833,30,326.351592
-0.418985,30,326.402353
-2.274041,30,326.449484
-2.328587,20,326.482998
1.349203,26,326.528947
1.080824,9,326.543866
0.834958,17,326.571499
-3.962052,26,326.614203
-2.316937,30,326.660414
2.238142,30,326.707601
0.339012,13,326.728091
-2.108893,28,326.772936
-14.285369,30,326.816647
2.537599,29,326.865584
2.9194,17,326.89218
-0.416669,30,326.935987
-1.169985,13,326.958722
3.853629,30,327.008475
3.535287,18,327.038623
1.176992,30,327.084439
-4.266329,30,327.133092
2.371682,17,327.158882
-0.031532,29,327.205902
0.729325,29,327.252756
0.951756,23,327.289955
0.097342,30,327.338773
-5.157041,26,327.378718
2.165602,30,327.426039
-2.953328,30,327.471583
-0.45934,16,327.499089
-1.512511,20,327.530688
2.895023,20,327.562462
3.124767,21,327.595461
2.587219,24,327.634184
0.634635,30,327.685655
2.220043,30,327.73357
3.19653,20,327.769007
1.445199,13,327.791557
4.156545,16,327.819563
1.24766,19,327.848018
2.539929,30,327.897442
0.970499,30,327.9419
-0.035141,13,327.964972
-0.081391,18,327.991539
-2.430023,19,328.022325
2.173498,12,328.042681
1.667178,30,328.089133
3.186294,29,328.137806
-0.059521,20,328.170063
0.633874,28,328.215545
-2.235679,27,328.255494
2.806957,26,328.29741
2.749074,18,328.324834
-5.240543,30,328.373687
0.805836,19,328.405012
1.680393,18,328.432291
2.789961,30,328.479882
-2.554266,28,328.524211
1.23182,14,328.546839
-0.413719,28,328.592698
3.79084,17,328.620157
2.035615,24,328.657876
3.707582,16,328.684133
1.427576,20,328.716281
1.518712,9,328.73381
-0.405402,28,328.780478
3.712405,30,328.826628
1.801875,30,328.875354
-4.942706,22,328.909519
2.283152,20,328.942459
2.86037,24,328.978874
2.895027,27,329.023381
0.805229,21,329.056045
2.916212,26,329.099963
-0.865654,21,329.131991
1.223438,16,329.156284
-5.272922,30,329.206026
1.402925,24,329.245546
2.678319,25,329.287397
0.929053,21,329.319781
0.256677,22,329.352752
-2.46266,17,329.382786
-1.051292,19,329.412909
1.332851,15,329.436556
-1.165539,14,329.459474
1.579932,13,329.480945
2.4081,28,329.527505
3.026982,27,329.570127
-3.095966,27,329.610503
4.043914,19,329.642139
-0.901683,23,329.678306
2.614697,26,329.719182
0.257418,20,329.75125
-0.800415,15,329.777676
2.409933,26,329.818088
-1.231343,22,329.850358
1.27501,22,329.88826
-2.222086,30,329.935383
-5.522964,30,329.983601
1.36778,18,330.010506
-0.296804,17,330.036562
-2.260561,27,330.08163
-0.115021,16,330.107373
3.111921,22,330.142292
1.063667,13,330.161502
2.196162,23,330.199015
1.890293,17,330.2253
0.525166,27,330.269705
2.497354,28,330.315765
-2.88644,25,330.355676
0.400725,21,330.387999
0.043371,28,330.432179
2.419442,25,330.469961
1.216438,17,330.499056
2.21038,30,330.546189
0.372223,29,330.59282
2.721948,23,330.630594
3.357849,30,330.680029
1.412264,20,330.712965
3.377041,23,330.749705
-1.690913,11,330.769157
-6.747115,30,330.818848
-1.751882,19,330.847734
0.372681,25,330.889584
2.099384,18,330.918226
1.285508,30,330.970263
1.04529,20,331.001908
2.953001,27,331.044924
2.710153,17,331.07542
0.83032,14,331.099298
2.558535,14,331.122175
1.842689,20,331.154289
1.05649,25,331.193659
0.114991,28,331.240589
-2.240848,30,331.289121
-7.227891,30,331.340222
1.667375,10,331.355473
0.563106,13,331.381228
2.817169,19,331.412496
2.182592,27,331.457865
1.966467,23,331.495194
-1.274886,14,331.515147
-0.477223,22,331.551518
0.292872,30,331.597445
1.929661,30,331.644871
1.335268,12,331.664423
2.393915,11,331.682775
4.05959,24,331.723028
-1.110915,30,331.767397
2.446803,27,331.811199
0.948371,30,331.858084
-1.130798,13,331.880171
2.717714,17,331.907339
-2.721245,15,331.933977
0.906351,19,331.963604
-2.761439,12,331.983133
-1.468864,13,332.006205
-10.340282,30,332.055125
-0.695583,30,332.104848
1.261981,20,332.138614
1.255383,30,332.183298
0.046039,24,332.221751
-0.258794,15,332.247196
4.134826,29,332.293339
0.316071,30,332.341028
1.700494,25,332.381455
-0.033922,8,332.393977
-2.094332,30,332.442784
1.558207,30,332.492053
4.027986,22,332.52912
-2.984305,15,332.553347
3.079605,30,332.602317
2.881293,18,332.630009
3.248875,30,332.677602
-4.635787,25,332.719271
1.096681,11,332.740894
2.454176,27,332.785446
-0.944184,28,332.830302
3.563754,16,332.859235
3.824993,29,332.913777
-0.94039,30,332.957871
0.231788,18,332.988029
1.006029,27,333.030789
-0.136961,20,333.063493
1.242909,30,333.11427
0.946162,25,333.153134
0.553216,30,333.202231
2.721014,13,333.22243
-2.387709,11,333.240312
1.025387,26,333.280804
2.541221,25,333.320339
1.116636,15,333.345679
1.791709,25,333.386069
1.478475,21,333.421914
-3.983418,29,333.466933
-3.425833,30,333.51272
-2.335811,23,333.548502
-2.051377,16,333.576035
-3.842428,16,333.600068
0.138184,30,333.645925
1.1186,30,333.694747
-1.488791,30,333.743703
-1.836735,20,333.775296
-4.518807,30,333.822198
1.594405,14,333.846348
2.555702,30,333.89407
0.900401,30,333.940147
-4.336007,27,333.982
1.468923,16,334.007521
0.494105,30,334.055815
2.341794,18,334.084151
1.142316,17,334.112687
-4.037421,20,334.144411
0.440839,27,334.184949
3.029629,24,334.224652
3.205086,30,334.272887
1.838959,21,334.306925
-3.280518,27,334.35051
1.167784,28,334.396023
1.235957,30,334.44234
2.849398,30,334.491121
-0.313051,18,334.519416
-10.459449,26,334.563192
-0.126949,30,334.610261
3.135079,23,334.648404
1.902872,15,334.672762
2.2359,30,334.720792
2.615667,30,334.769349
-2.281051,24,334.806525
-0.737979,30,334.853926
0.271297,30,334.902207
-5.522345,16,334.928416
-3.28729,30,334.971906
2.357443,21,335.008428
-3.98605,14,335.029009
1.597834,21,335.062066
3.10101,21,335.097254
0.865354,19,335.124977
0.081237,27,335.169016
3.201404,20,335.20022
1.448586,24,335.23615
0.375989,30,335.284119
3.324018,30,335.33277
1.173929,19,335.363867
1.287773,15,335.387252
2.092817,21,335.420277
1.709642,19,335.451634
3.211413,30,335.499387
-1.085623,30,335.547704
1.597805,12,335.568581
1.323461,30,335.613998
1.712905,30,335.661425
1.409672,21,335.694963
2.754146,19,335.725886
1.366011,28,335.768417
-1.261149,30,335.814645
1.471539,9,335.828551
2.886584,28,335.87339
3.304941,30,335.922054
-1.489534,29,335.968297
3.002347,21,336.001878
-1.981672,30,336.051896
1.560775,30,336.098761
2.050112,28,336.143574
0.830383,30,336.190329
1.538144,22,336.227135
1.783553,18,336.258843
2.477409,24,336.303936
3.4603,19,336.336145
0.348952,29,336.38567
-8.029155,29,336.432176
-3.393646,21,336.464131
-0.578529,23,336.502981
-0.197382,24,336.541258
2.10122,30,336.590145
1.941602,30,336.636724
2.025445,30,336.687029
1.460426,25,336.727197
-0.03699,23,336.765186
3.613412,25,336.80409
-0.526346,30,336.851223
2.8171,30,336.90094
1.469089,13,336.922448
-1.327002,21,336.953856
1.74329,30,337.003104
1.430588,11,337.02206
-9.257572,30,337.070095
0.38954,30,337.121243
1.095494,29,337.166231
2.990059,29,337.214718
2.761837,20,337.248094
1.984976,26,337.292771
-0.185757,18,337.319048
3.244789,27,337.364582
3.921856,29,337.410053
0.076,12,337.429368
1.67305,30,337.475788
0.170395,30,337.519811
0.610095,25,337.56087
-0.920526,20,337.614538
2.247515,22,337.682783
4.020365,21,337.760649
2.983651,28,337.847295
0.514899,30,337.924337
0.993376,30,337.988519
-1.312843,30,338.046598
0.245362,30,338.097257
-0.630368,17,338.124741
-3.386952,30,338.179348
3.138136,18,338.210089
-0.871121,11,338.228335
4.405345,29,338.276892
-0.395575,18,338.307104
1.170813,21,338.344625
1.26069,30,338.393958
-0.335319,16,338.420281
1.164405,16,338.445604
1.427524,28,338.490014
-0.765656,30,338.536844
2.914646,30,338.597075
-1.309223,30,338.666776
-6.691513,26,338.735048
-4.476482,30,338.804819
3.71067,21,338.858004
2.726403,20,338.90938
1.084782,30,338.979831
0.861235,30,339.02945
-0.572287,30,339.082253
2.685792,19,339.114026
4.107751,16,339.144285
-1.2348,17,339.17425
2.917311,30,339.222968
2.879123,18,339.254714
-2.056661,30,339.30396
1.996279,30,339.355441
-0.730497,30,339.403283
0.479164,27,339.449372
0.65176,28,339.49931
1.854417,30,339.546574
0.286117,30,339.594506
1.875677,21,339.626146
-1.913186,30,339.675092
0.02263,25,339.714362
2.669687,30,339.770319
2.907756,30,339.818048
2.849561,19,339.85045
1.182928,30,339.896525
1.724737,20,339.928635
3.148365,13,339.951433
-3.107033,27,339.992328
4.283002,28,340.039848
0.847763,25,340.084051
0.648743,30,340.130441
1.165923,20,340.1617
-0.543467,15,340.187419
2.20239,21,340.220645
0.833308,22,340.256297
0.871243,27,340.301973
3.919864,23,340.342393
4.165527,30,340.392935
2.868727,21,340.427452
1.672598,17,340.454379
-0.568585,14,340.478373
2.886115,24,340.51818
2.406168,27,340.560358
2.295395,30,340.639044
-7.230399,25,340.703657
-3.451403,20,340.747328
0.38165,22,340.801316
-4.342689,19,340.837974
0.052156,20,340.872593
-2.334876,27,340.917602
0.034655,17,340.955648
-1.389002,19,341.019344
3.23266,30,341.100907
1.730461,25,341.171576
2.864873,22,341.235032
-1.127629,24,341.308801
-1.447254,18,341.355694
2.315936,17,341.386355
-2.249285,26,341.432369
-5.079976,27,341.475333
0.487469,28,341.523094
-0.028764,30,341.573513
-3.089496,30,341.620334
2.213233,27,341.66581
0.381517,14,341.691268
-0.087665,30,341.73802
0.351452,15,341.763273
1.907018,22,341.796891
-0.004534,30,341.845304
1.728315,16,341.870647
0.467357,18,341.900068
-1.078184,30,341.952497
1.233303,22,342.004628
-0.11177,30,342.07934
0.725378,19,342.128593
1.194832,30,342.193084
-0.075911,30,342.266189
-0.45399,23,342.317046
2.022207,26,342.375638
-1.966492,30,342.427283
1.468778,30,342.477423
3.746653,26,342.518904
3.093705,30,342.569885
3.300422,30,342.618702
-0.420624,16,342.644424
4.087777,26,342.688414
1.219805,19,342.720674
1.582167,19,342.752528
-0.712179,22,342.791641
-0.953851,27,342.839229
0.312843,17,342.866217
2.916563,23,342.905878
-0.068669,30,342.95977
1.81885,30,343.011035
-0.726315,30,343.060163
-3.109484,27,343.10642
3.010016,24,343.1485
-0.29071,30,343.196197
-0.024277,30,343.246046
2.199407,15,343.271618
2.850476,30,343.322336
0.209577,30,343.372481
2.111856,14,343.394195
3.216824,30,343.446937
-1.522451,30,343.493945
3.269952,23,343.53259
-0.301942,30,343.581484
-1.521055,29,343.629611
0.746741,27,343.67228
2.060008,30,343.725526
2.894874,19,343.757504
1.10936,30,343.803488
1.841901,20,343.835669
-0.027457,19,343.867955
3.717209,22,343.905594
2.060676,24,343.945904
1.38615,30,344.016105
-2.050828,30,344.088614
0.03979,23,344.142813
-1.57665,11,344.169056
3.357875,17,344.19881
2.770185,24,344.240229
-1.359205,17,344.266866
0.635478,30,344.315872
-5.003542,30,344.3653
-0.195844,30,344.414122
1.972879,12,344.432908
1.296023,16,344.459038
1.617672,27,344.503812
0.274738,30,344.548963
-0.465063,29,344.595217
3.445465,14,344.620769
0.07602,18,344.648098
-0.142371,14,344.670035
1.431569,30,344.717105
2.944967,17,344.746339
-2.271673,14,344.769887
-2.319478,24,344.807719
-0.275564,10,344.824953
0.952766,28,344.871623
-0.93857,30,344.920984
0.718173,30,344.97309
2.151694,30,345.022139
0.57631,26,345.06719
1.576614,11,345.084788
2.084757,14,345.108904
3.319563,25,345.149595
1.443845,14,345.174481
0.890807,30,345.217852
1.307039,18,345.247959
2.926192,26,345.288481
1.696766,24,345.327354
2.440083,28,345.372669
2.64351,20,345.40447
-2.781848,20,345.434916
1.510924,15,345.461007
1.622581,30,345.507531
-4.370263,21,345.540952
0.023061,17,345.568038
2.592977,18,345.597563
1.691741,19,345.662185
2.152983,27,345.754979
1.062711,26,345.840705
3.161107,30,345.928246
2.594286,23,345.995959
0.161576,30,346.067258
0.013375,27,346.14895
3.916782,29,346.23471
0.219739,16,346.271199
-5.847939,30,346.335456
-2.256505,24,346.382669
-1.548488,30,346.441557
1.53947,30,346.498542
-0.129558,9,346.515202
1.277244,30,346.568809
1.093394,30,346.622605
-1.440553,30,346.6749
3.367389,30,346.732213
0.905331,22,346.769876
-1.057394,23,346.81308
1.997817,30,346.867507
1.020848,15,346.894001
2.280236,22,346.932708
1.975363,22,346.970023
2.751553,28,347.015443
0.368183,28,347.060489
2.965884,26,347.125141
-2.172558,14,347.163196
1.810161,30,347.253436
-2.769213,22,347.34498
3.160426,30,347.482826
-5.192125,30,347.549351
0.821958,29,347.613912
4.066675,25,347.659755
-0.266506,30,347.708165
3.624283,25,347.760735
2.519171,25,347.803562
-0.598814,14,347.828027
-2.36678,18,347.859792
0.341791,30,347.91862
-3.776313,27,347.966671
-0.551849,30,348.018889
-1.092129,16,348.046271
0.823818,30,348.100672
-3.023114,16,348.129385
-2.284386,30,348.184834
-4.460597,28,348.233565
-3.669526,18,348.266236
0.638026,27,348.311736
-2.43649,30,348.359636
-3.586012,21,348.396394
2.1153,30,348.451591
-1.189839,30,348.506853
-1.189954,30,348.56141
-0.224913,18,348.594806
4.288989,22,348.635237
2.879929,22,348.674301
-5.873303,21,348.710252
0.963175,16,348.737966
1.752985,14,348.76328
-1.51243,26,348.808877
2.063268,22,348.843981
3.948622,18,348.876652
3.267009,30,348.931519
0.156381,30,348.982224
-1.169154,30,349.030374
2.898725,30,349.079735
3.290621,30,349.131253
1.431461,11,349.150866
3.204741,30,349.202464
1.0948,19,349.231263
3.294288,30,349.283722
-1.380533,19,349.315347
1.026812,30,349.363849
-0.355805,16,349.388947
-5.891426,20,349.422667
1.623493,30,349.477034
2.216805,22,349.517996
1.192297,27,349.56284
3.540775,27,349.610908
-1.106707,27,349.652789
1.963725,30,349.701158
2.438067,30,349.748805
2.97344,13,349.77506
2.880805,22,349.810496
-0.737718,18,349.839957
2.969778,22,349.874835
4.066906,25,349.918782
3.46361,30,349.967502
-1.641447,24,350.006797
0.161822,23,350.046211
-0.634526,22,350.084348
1.026711,13,350.107491
1.486625,11,350.131646
3.145364,28,350.184498
1.971932,30,350.240275
-2.205673,17,350.268215
-0.315122,30,350.314382
0.784151,21,350.350429
2.152534,12,350.371548
-2.55654,30,350.417222
4.255399,22,350.456291
1.947568,25,350.497176
-0.215646,30,350.551705
-0.4,30,350.604018
1.457299,30,350.650049
0.288675,26,350.692782
1.578673,30,350.741456
-2.835448,21,350.775458
3.384023,19,350.804654
3.581399,20,350.834823
1.209268,30,350.887784
3.980789,23,350.926526
1.544648,20,350.958403
-0.263803,18,350.987028
-0.64772,17,351.016798
2.92414,23,351.055458
-3.468439,14,351.07918
-0.701717,27,351.119895
3.038551,18,351.152029
-2.400832,30,351.1986
0.112451,30,351.248958
3.471913,14,351.269271
4.01598,17,351.301668
0.680993,30,351.349373
-0.444453,18,351.380852
4.124322,26,351.421108
2.547253,30,351.470201
0.924907,26,351.511054
-6.210568,19,351.54066
0.942184,14,351.562633
2.621041,29,351.616164
4.091224,26,351.658222
2.165299,25,351.696503
-6.940653,25,351.738937
2.30244,17,351.768604
2.021396,12,351.788012
1.522017,30,351.834236
2.915683,29,351.884685
0.315376,18,351.912867
1.350305,30,351.964864
1.008243,30,352.009255
2.920966,24,352.046311
0.616719,30,352.097385
0.541038,19,352.12652
-1.208615,20,352.158143
-9.834453,24,352.19663
-0.096876,23,352.239889
1.31332,28,352.284374
-9.036679,29,352.32984
-0.301343,21,352.365332
2.137911,24,352.405867
-3.933678,30,352.451587
1.21584,30,352.500003
-0.658967,25,352.538039
-2.297578,14,352.56056
1.33598,30,352.610677
2.104913,22,352.643553
2.703375,30,352.689732
-1.854761,28,352.74208
1.488102,23,352.782587
0.971083,24,352.821231
2.85414,30,352.866318
3.883668,24,352.930068
0.238034,18,352.967313
2.949654,21,353.004194
0.545169,30,353.05397
3.144244,30,353.111113
-1.382568,30,353.159564
3.504189,29,353.211271
2.780753,19,353.241409
-2.739816,30,353.302641
1.509455,30,353.351234
4.201781,23,353.39121
2.420175,30,353.440364
2.066954,27,353.486928
1.566247,26,353.530288
-1.127988,30,353.576133
-1.136788,30,353.62422
3.395841,12,353.64866
1.787328,30,353.697491
1.107284,22,353.734563
2.374679,22,353.76915
0.835084,30,353.821401
-0.764584,12,353.841063
0.921556,19,353.871139
-0.716668,30,353.920498
3.210823,30,353.976732
4.054517,29,354.022914
2.056523,30,354.069183
0.841174,29,354.11649
1.207158,24,354.155501
0.458698,30,354.206256
0.808732,27,354.247121
-0.196987,30,354.293274
3.095002,30,354.349638
0.862904,21,354.383737
-2.865,25,354.421824
0.682426,30,354.468853
-0.340474,23,354.507998
1.536831,20,354.542358
2.350052,30,354.588756
-1.112978,25,354.628015
-4.1764,23,354.667788
-3.092287,30,354.717148
-0.148403,30,354.763025
2.750532,30,354.807965
2.113188,30,354.854511
-4.929451,15,354.878179
2.065921,17,354.905158
0.169901,30,354.954555
-0.224049,17,354.983366
2.029865,19,355.014794
2.08773,30,355.060369
3.460069,12,355.080801
-3.827769,26,355.125938
2.174857,30,355.174487
1.39401,16,355.201576
-2.564413,30,355.251309
2.380653,16,355.277283
-2.1556,30,355.326253
2.963306,15,355.351353
4.043593,24,355.391195
1.674828,21,355.424521
0.136618,16,355.45052
2.620916,18,355.482368
2.030901,24,355.519864
2.991354,23,355.5586
2.965374,20,355.592914
-0.265873,30,355.640307
2.460388,30,355.685855
1.941327,26,355.731894
2.582608,15,355.757729
2.465855,19,355.785731
-0.013365,30,355.833152
1.562319,19,355.865861
1.363784,30,355.911526
0.583535,14,355.93592
3.014257,22,355.97095
1.488578,30,356.021313
0.315271,18,356.049949
3.841895,18,356.079694
4.050163,26,356.123573
4.297039,24,356.165011
2.674404,30,356.218141
1.920956,30,356.26457
1.354063,9,356.278559
-3.576091,30,356.332142
-2.299498,29,356.379007
1.393304,22,356.413681
0.554212,28,356.457407
0.442806,30,356.507116
-1.876169,19,356.538908
1.73584,16,356.564696
1.299658,13,356.585199
2.68288,30,356.637584
-5.062599,30,356.685079
4.240337,27,356.729198
1.616686,22,356.761361
2.933576,22,356.802242
1.963841,29,356.848525
3.005286,25,356.887822
1.285698,30,356.935618
3.262501,30,356.987621
-2.920719,18,357.018479
1.793116,22,357.051019
1.421271,15,357.074948
-2.502073,22,357.113609
1.086186,18,357.142175
3.333949,15,357.167222
3.167961,30,357.214317
-1.780532,30,357.267436
2.875643,30,357.314422
2.991405,24,357.353159
3.008307,30,357.403207
0.403927,18,357.432815
0.71953,30,357.48262
-1.615674,30,357.52931
-3.496479,28,357.573063
0.228945,26,357.619502
-2.165455,30,357.665116
-3.499138,20,357.695718
-0.572666,30,357.747519
2.378732,27,357.794272
4.20572,23,357.829886
2.735597,28,357.872817
2.871305,25,357.91358
0.80675,8,357.929113
1.833712,20,357.962348
1.728603,9,357.97704
-0.312505,17,358.002285
-1.436515,30,358.05514
4.207861,22,358.090267
0.374766,19,358.119593
0.521003,17,358.145486
2.850918,23,358.185777
2.329642,13,358.20906
-0.596568,30,358.25876
2.925738,23,358.29595
0.255571,24,358.337986
2.900542,24,358.376848
2.473838,26,358.420926
0.099839,30,358.467916
3.582796,20,358.503111
3.35321,30,358.554312
1.596051,23,358.592784
1.562255,30,358.63992
3.388154,30,358.692737
-2.761481,30,358.737084
2.881362,28,358.781894
0.075076,30,358.830823
0.229263,29,358.880337
-1.476544,29,358.927873
3.024237,30,358.975353
3.119217,30,359.021249
0.547428,19,359.055089
2.346929,25,359.093971
-0.12136,22,359.130762
2.00535,30,359.176749
1.865155,21,359.212226
-1.643,12,359.232441
-1.514518,23,359.271484
1.895044,30,359.32191
-0.585485,27,359.365192
-1.360307,30,359.412137
1.01579,15,359.436421
0.604043,12,359.455961
-0.664102,30,359.504787
1.680291,30,359.551873
-0.475854,18,359.578637
0.762018,29,359.624378
1.153987,24,359.664534
1.162569,25,359.707207
-1.076344,15,359.728948
0.908398,30,359.778841
-1.088462,30,359.826271
-0.450121,15,359.8506
3.077969,22,359.885443
2.943048,22,359.918303
2.459857,30,359.970099
1.523381,21,360.005089
1.026743,28,360.052406
2.291751,26,360.093385
4.026458,25,360.139612
2.101509,24,360.178956
1.794397,22,360.21524
3.099684,30,360.266957
1.999313,14,360.292402
0.744607,30,360.345507
0.238669,24,360.384135
1.757266,17,360.411803
1.022722,26,360.454933
2.925512,24,360.494903
0.518402,30,360.543855
1.60678,18,360.572275
-0.687706,30,360.624085
0.587256,30,360.672524
2.143122,19,360.704143
-1.548167,17,360.731023
-0.434145,21,360.769406
-0.958967,22,360.802783
2.020135,30,360.851035
-1.109263,30,360.897726
2.62577,19,360.931567
1.436782,30,360.978114
2.864146,24,361.014976
3.605785,22,361.052231
3.001627,23,361.092738
2.104517,13,361.111929
-0.011367,30,361.160652
-2.442461,18,361.190501
1.525603,15,361.22031
0.682899,30,361.26912
2.867669,19,361.300875
0.348941,26,361.343918
1.867328,20,361.378875
1.946526,22,361.413873
0.307754,30,361.460257
2.830157,12,361.481341
-3.667109,30,361.53425
2.359194,30,361.579609
0.066892,12,361.598237
0.888588,23,361.636932
3.089599,30,361.68809
2.926229,23,361.724239
1.606185,17,361.751741
-1.342402,14,361.773849
1.554712,23,361.814639
0.821604,15,361.839025
3.182979,30,361.887452
-1.756543,19,361.91695
1.895047,30,361.96687
0.841902,20,361.99977
2.626503,15,362.025341
0.933453,30,362.072974
2.644493,19,362.103489
0.270409,24,362.142224
-0.94669,16,362.168401
-0.653847,20,362.200979
4.32188,23,362.242647
-0.748436,30,362.291734
1.721288,11,362.307561
0.968162,24,362.346692
2.129765,20,362.380896
-1.269086,30,362.430633
3.088165,23,362.466077
2.013977,27,362.508759
2.660299,21,362.554899
2.655985,28,362.613835
0.832286,19,362.644837
-4.233977,25,362.685678
0.183781,30,362.74069
1.505076,19,362.773553
3.078025,30,362.818902
-0.099701,13,362.841728
2.815587,19,362.872884
-1.043543,17,362.902071
-2.583993,30,362.94908
1.025488,30,362.999424
-1.268646,25,363.042011
-2.831766,30,363.089987
1.062729,30,363.13897
1.438085,14,363.160233
3.787919,29,363.210861
1.800814,18,363.239255
-4.461389,21,363.270883
-0.305597,27,363.313347
4.191281,27,363.361775
1.422939,9,363.375985
2.200603,30,363.424283
-1.669378,30,363.467982
1.013548,29,363.516263
0.436304,22,363.55283
-1.552023,25,363.593014
2.91618,29,363.640056
-0.582872,30,363.690903
3.12898,30,363.738297
-4.359103,30,363.785056
2.693774,19,363.817102
-1.254769,21,363.852723
0.472493,30,363.901361
-1.507715,22,363.941313
-13.027604,27,363.983838
0.206858,30,364.03196
0.447258,19,364.063844
3.849928,25,364.102809
1.86413,20,364.135747
4.246381,26,364.181506
4.142512,26,364.223195
0.906733,13,364.245543
2.155821,24,364.283217
2.339527,28,364.332462
2.423803,22,364.37029
-2.451031,28,364.41431
-0.017107,30,364.458866
2.24553,22,364.498923
3.014366,22,364.534019
0.967583,20,364.567583
0.275617,20,364.59796
2.70334,30,364.649461
2.193738,14,364.670129
0.659116,30,364.716154
-5.180062,19,364.748448
2.492374,30,364.797394
3.911113,18,364.82755
0.730574,30,364.874462
-0.015408,30,364.921626
2.332497,30,364.968683
-4.32661,23,365.007427
-0.341439,29,365.051759
2.506785,27,365.094903
-1.719523,30,365.14409
1.941871,29,365.192621
2.597019,27,365.238139
1.975016,25,365.280392
-0.140554,30,365.330956
-0.31908,30,365.378426
3.528126,23,365.415185
1.944773,15,365.44028
-0.529077,21,365.475075
3.901441,25,365.517958
3.026775,17,365.545296
1.288526,18,365.574268
1.455366,30,365.62609
2.247093,30,365.672706
3.305597,30,365.723166
-1.744769,14,365.743812
1.916434,30,365.793852
2.188664,19,365.826334
3.034933,16,365.853397
-1.181256,26,365.894945
-1.01448,22,365.934228
4.039131,19,365.963766
0.931148,30,366.011389
0.394856,25,366.050262
2.915716,30,366.102612
4.086189,25,366.142785
2.034532,18,366.173243
-0.477584,30,366.218702
1.378542,30,366.269426
2.296339,30,366.320191
1.013199,23,366.358238
3.538107,16,366.38539
0.080677,23,366.421699
2.867645,21,366.458434
-0.001419,30,366.505386
-2.801006,30,366.557957
1.977955,30,366.6093
0.793589,20,366.641522
-1.08871,30,366.691835
4.125726,20,366.724277
1.989457,27,366.768888
-6.533981,23,366.807109
-0.178792,12,366.826591
2.628814,29,366.873096
1.156639,30,366.927047
-0.578886,19,366.957232
0.750871,11,366.974876
4.304694,20,367.007504
1.901972,27,367.05445
0.202617,9,367.067738
0.675716,28,367.110521
0.38339,17,367.140738
2.700571,22,367.179882
-4.809341,20,367.213722
1.701653,27,367.260625
1.889659,30,367.306944
-1.904639,30,367.359952
3.003119,18,367.388964
2.604956,19,367.420508
2.109852,17,367.448022
3.539846,30,367.503046
2.706546,18,367.532533
1.398765,30,367.582175
-2.645043,19,367.612721
3.343471,27,367.657409
4.034175,28,367.701598
2.367818,27,367.748133
-4.753931,26,367.790882
