episode,reward,length
333,-2.92404,28
334,-6.258187,25
335,-1.075221,30
336,0.47202,17
337,3.505966,23
338,1.947602,20
339,-4.973288,26
340,-1.062555,13
341,-0.938124,30
342,1.653588,22
343,1.751261,21
344,-3.139701,27
345,0.874861,30
346,1.41093,24
347,2.347589,26
348,-0.422949,30
349,2.014244,30
350,-2.121767,30
351,1.671117,18
352,-0.930725,30
353,0.974947,26
354,1.205097,30
355,-3.555349,19
356,-3.333596,30
357,-0.633416,22
358,-0.908419,16
359,-0.906504,29
360,-0.744073,28
361,-3.267521,30
362,-6.234135,23
363,1.080296,16
364,-4.253653,28
365,0.780865,28
366,-3.892251,24
367,-2.884332,20
368,-0.492605,14
369,-0.810925,17
370,-0.318391,30
371,-3.353294,28
372,-3.412711,30
373,-4.749762,30
374,0.377917,30
375,2.007089,20
376,0.84143,23
377,0.792496,30
378,2.669537,30
379,-2.891169,30
380,-4.132837,22
381,-5.734044,30
382,-2.40592,19
383,-3.796612,27
384,-6.48199,30
385,-2.855947,20
386,-1.685347,24
387,-0.79723,18
388,-1.667452,27
389,1.391848,27
390,-1.17541,25
391,-2.379865,24
392,1.071234,30
393,-4.834517,18
394,-0.628645,30
395,-0.291959,27
396,-3.624247,26
397,-2.898744,30
398,-3.689245,25
399,-4.523912,30
400,-1.644704,30
401,-8.35483,27
402,-0.182418,16
403,-0.071446,30
404,-4.259526,14
405,1.034929,26
406,-2.077773,26
407,1.32703,30
408,-0.324393,23
409,0.422029,30
410,2.848346,19
411,-8.930946,23
412,0.165557,16
413,-2.940731,22
414,-4.052279,30
415,-2.315521,12
416,-0.953401,20
417,-2.997125,30
418,2.903612,30
419,-7.236743,24
420,2.644416,15
421,0.266283,10
422,-0.773473,21
423,-4.100115,30
424,-1.359803,14
425,0.795567,15
426,-5.759894,22
427,0.228836,24
428,-0.582133,17
429,0.404707,17
430,0.051088,30
431,1.025701,30
432,2.767034,27
433,-0.000546,18
434,1.835043,30
435,-5.98116,26
436,-0.438269,25
437,-0.02124,30
438,-3.948427,30
439,-0.811673,30
440,-7.247211,22
441,2.635125,16
442,-5.273443,26
443,-1.717851,30
444,0.019653,30
445,-3.367505,23
446,-2.883374,14
447,1.846556,11
448,-4.88367,26
449,-3.494426,28
450,-2.963648,30
451,0.851661,18
452,-6.129228,30
453,-2.000468,20
454,-6.399355,30
455,-1.915678,26
456,2.913547,27
457,2.26576,29
458,0.827239,23
459,1.719925,16
460,-0.472737,27
461,-2.56267,17
462,1.4263,27
463,1.103605,19
464,-1.309912,14
465,-1.448421,30
466,1.744629,26
467,-3.265111,30
468,-2.694839,21
469,1.007813,30
470,-0.04857,23
471,0.929118,29
472,0.678437,19
473,-0.879098,30
474,4.258039,24
475,0.641718,19
476,-0.567051,22
477,-0.543356,17
478,0.333678,14
479,-4.036715,30
480,-2.736288,18
481,-1.876373,24
482,-0.585969,16
483,-0.024901,30
484,2.028972,30
485,-0.005246,30
486,-1.296682,23
487,-3.031052,28
488,-0.462862,30
489,-1.226295,30
490,0.228487,30
491,0.603016,30
492,-6.009079,30
493,1.974515,30
494,0.274979,10
495,1.8969,30
496,-0.338328,16
497,2.766125,30
498,-2.953535,12
499,0.047498,28
500,2.058854,30
501,-4.479922,30
502,1.057755,25
