method,episode_reward,num_sensors,U_expected_undetected,V_void_probability,D_global_detection,D_min_worst_region_detection,U_max_worst_region_residual,D_mean_active_region_detection,risk_imbalance_cv,dominant_alpha_deg,dominant_p_km,sensors
random_sequential,-0.5398820998517293,3,7.648225274962405,0.0004768897265866855,0.23517747250375953,0.0,0.5264359761003435,0.24496456087697566,0.3754222506324477,45.0,-1.1666666666666667,"[[4.3596, 9.0], [9.3596, 8.0], [8.3596, 8.0]]"
random_sequential,-2.8782929499797647,4,7.048433170140811,0.0008687691048430668,0.2951566829859189,0.0,0.46797316239603926,0.29363241161439885,0.44346701381920484,45.0,-1.1666666666666667,"[[8.0, 4.4967], [8.0, 3.4967], [9.0, 3.4967], [9.0, 6.4967]]"
random_sequential,-0.9314492805075558,2,8.32920369921288,0.00024136416685101414,0.16707963007871207,0.0,0.5288736031439756,0.17069554148156013,0.33059120413887205,45.0,-0.8333333333333335,"[[5.5538, 1.3728], [5.5538, 0.0]]"
random_sequential,-1.1114829141047555,4,7.224103492437088,0.0007288056260526671,0.27758965075629116,0.0,0.5288294846047269,0.27873787615092316,0.45385312434685904,87.0,0.49999999999999956,"[[7.6841, 1.8257], [6.6841, 0.0], [5.6841, 0.0], [4.6841, 0.0]]"
random_sequential,-3.018745928106019,4,8.124284474626627,0.00029625663337492396,0.18757155253733726,0.0,0.5244604682747754,0.19228252720810612,0.36362611592334754,45.0,-1.1666666666666667,"[[9.2681, 1.2816], [8.2681, 2.0], [10.0, 1.0], [10.0, 2.0]]"
random_sequential,-4.843339346520979,2,8.701810327114977,0.0001662845089869106,0.12981896728850228,0.0,0.5288735557470992,0.13238245612775434,0.26792592177208024,87.0,0.49999999999999956,"[[10.0, 0.0], [8.0, 1.0]]"
random_sequential,-2.2487902486801663,3,8.417105946888437,0.0002210534684793439,0.15828940531115632,0.0,0.5211842064445904,0.15940602785348956,0.29878591786687037,87.0,0.49999999999999956,"[[1.0193, 7.8976], [0.0, 7.8976], [0.0, 9.0]]"
random_sequential,-3.318041241961925,4,7.4880167740307595,0.000559751975055975,0.2511983225969241,0.0,0.46783342512484327,0.24659936728493229,0.41387489078675416,32.99999999999999,-0.8333333333333335,"[[1.0, 6.4718], [0.0, 5.4718], [0.0, 7.4718], [0.0, 8.4718]]"
random_sequential,-3.6485807348700803,4,7.658540318295871,0.000471995871945156,0.2341459681704129,0.0,0.5163711432975455,0.2362299895477599,0.4157961884306807,87.0,0.49999999999999956,"[[9.5501, 2.3583], [8.5501, 2.3583], [9.0, 1.3583], [8.0, 0.0]]"
random_sequential,3.208618298535891,3,6.8613248134315326,0.0010475252374454484,0.3138675186568467,1.0429768160236108e-11,0.38659644997852444,0.28980471686665693,0.29680242787028777,87.0,0.49999999999999956,"[[3.9413, 2.0], [3.9413, 4.0], [3.9413, 7.0]]"
random_sequential,-0.3711886059963949,4,6.652248646971861,0.0012911155756812885,0.3347751353028139,5.053735208093713e-13,0.4239562658686921,0.31944749294090136,0.3866392797027655,57.0,-0.8333333333333335,"[[6.6116, 1.6176], [5.6116, 1.6176], [4.6116, 1.6176], [6.6116, 5.6176]]"
random_sequential,-6.807332941682102,4,8.14438773535541,0.0002903603746204558,0.18556122646445894,0.0,0.528873605533144,0.1883165099042832,0.35806993846031604,45.0,-1.1666666666666667,"[[2.2356, 10.0], [0.2356, 10.0], [1.0, 10.0], [3.0, 10.0]]"
random_sequential,0.9208353201582712,3,7.934345156550934,0.0003582264761804449,0.2065654843449065,0.0,0.4899942465500712,0.20813219862800067,0.3639854514304502,87.0,0.49999999999999956,"[[8.8689, 0.7922], [8.0, 1.0], [9.0, 3.0]]"
random_sequential,2.4745230217543837,4,7.193200598414187,0.0007516794423134351,0.28067994015858133,0.0,0.5288592624726275,0.2815548690792623,0.37738144409655916,87.0,0.49999999999999956,"[[6.3787, 1.9298], [5.3787, 0.0], [0.0, 1.0], [1.0, 0.0]]"
random_sequential,1.3293366054967803,3,7.702255608857755,0.00045180693295700106,0.22977443911422446,0.0,0.4601935771745217,0.22328329052286236,0.3500613293060444,39.0,-0.8333333333333335,"[[0.0, 7.5424], [0.0, 6.5424], [1.0, 4.5424]]"
random_sequential,-9.3505252237315,3,6.894876847143856,0.0010129617159806135,0.3105123152856144,4.6362266470367786e-08,0.3702274165545194,0.27430958770338654,0.33970869886454397,122.99999999999999,1.833333333333333,"[[4.5405, 5.4445], [6.5405, 5.4445], [3.5405, 4.4445]]"
random_sequential,1.0100587207989133,2,8.776341037904352,0.0001543417840310728,0.12236589620956484,0.0,0.5288736055325297,0.12210223313686892,0.24671050569337086,87.0,0.49999999999999956,"[[7.783, 0.181], [9.783, 0.0]]"
random_sequential,-0.7718472387080925,4,6.951664341712018,0.000957040984210496,0.30483356582879817,0.0,0.4405976545162235,0.27794005255002874,0.43927491735566165,32.99999999999999,-0.16666666666666696,"[[2.9928, 5.534], [1.9928, 3.534], [1.9928, 4.534], [1.9928, 5.534]]"
random_sequential,-4.490502323304547,4,6.634424495208556,0.001314334933595864,0.3365575504791444,7.960299086562372e-14,0.41754798823986766,0.29962758524835537,0.38788941419074296,92.99999999999999,0.833333333333333,"[[6.6424, 4.4224], [4.6424, 4.4224], [4.6424, 3.4224], [3.6424, 4.4224]]"
random_sequential,-8.161889653136734,4,7.800933546159012,0.000409352650952145,0.21990664538409876,0.0,0.5250905341243317,0.22512619571907722,0.41484911093355126,87.0,0.49999999999999956,"[[8.5551, 2.3036], [7.5551, 2.3036], [9.5551, 1.3036], [9.5551, 0.3036]]"
random_sequential,3.666014240691416,4,6.476054334651828,0.0015398745380842405,0.35239456653481727,1.1298792768066335e-07,0.425863183860459,0.3429906508552311,0.40015906326410583,92.99999999999999,0.833333333333333,"[[6.5509, 4.4765], [3.5509, 7.4765], [2.5509, 9.4765], [1.5509, 7.4765]]"
random_sequential,-0.6265766301001823,4,7.402762454733205,0.0006095665331829141,0.2597237545266795,0.0,0.5078992708041169,0.25966057893507377,0.42465314022368783,45.0,-1.1666666666666667,"[[3.4773, 6.7875], [2.4773, 8.7875], [1.4773, 8.7875], [0.4773, 10.0]]"
random_sequential,-6.613066188392274,4,7.051359489206147,0.0008662305254064517,0.2948640510793853,0.0,0.4677379901049189,0.2851096118103613,0.43431618382902915,92.99999999999999,0.16666666666666652,"[[2.8339, 6.555], [3.8339, 7.555], [0.8339, 7.555], [0.0, 7.555]]"
random_sequential,-0.6586040362824231,4,7.325524205999766,0.0006585143757263179,0.2674475794000234,0.0,0.5286817301149254,0.2723935980521706,0.46182975983122615,45.0,-1.1666666666666667,"[[3.9099, 7.5877], [2.0, 9.0], [3.0, 10.0], [4.0, 10.0]]"
random_sequential,1.985512794691868,3,7.518265177850395,0.0005430738857040464,0.2481734822149605,0.0,0.5259791187370675,0.2505713585883792,0.43157865255926986,45.0,-1.1666666666666667,"[[5.224, 7.0646], [6.224, 8.0], [5.224, 10.0]]"
