method,episodes,episode_reward_mean,episode_reward_std,num_sensors_mean,num_sensors_std,U_expected_undetected_mean,U_expected_undetected_std,V_void_probability_mean,V_void_probability_std,D_global_detection_mean,D_global_detection_std,D_min_worst_region_detection_mean,D_min_worst_region_detection_std,U_max_worst_region_residual_mean,U_max_worst_region_residual_std,D_mean_active_region_detection_mean,D_mean_active_region_detection_std,risk_imbalance_cv_mean,risk_imbalance_cv_std,dominant_alpha_deg_mean,dominant_alpha_deg_std,dominant_p_km_mean,dominant_p_km_std
random_sequential,30,-1.6005159900687551,3.4072402522364773,3.566666666666667,0.6674994798166927,7.409211492443689,0.6319472520527807,0.0007206786675861524,0.0003828838028200807,0.25907885075563103,0.06319472520527807,5.312475185685154e-09,2.1655684438611892e-08,0.4808046506132658,0.04839553658042108,0.25260169191370946,0.056236329781090715,0.38598525011292245,0.054874429255168826,68.2,25.20634840670104,-0.2555555555555558,0.8858280634664331
one_step_greedy_sequential,30,2.453215480613267,1.1206317387512843,3.066666666666667,1.0934146311237818,7.357509943603495,1.05502856202864,0.000985853396100231,0.0007680427207119812,0.2642490056396504,0.10550285620286398,7.716627824875625e-08,3.4860278800554996e-07,0.4675815659647827,0.050257358070556826,0.2581507142125975,0.0970829497415782,0.3625993797189618,0.07315253342145454,48.6,20.819221887476964,-0.9222222222222223,0.6550845765770522
dqn_sequential,30,3.288141792446558,0.09263166577583827,3.0,0.0,6.859712214701471,0.06506788534286331,0.0010513809085152322,6.579459615760012e-05,0.3140287785298531,0.0065067885342863264,1.0083072498427251e-07,3.686451449913673e-07,0.3978097328512015,0.016720023056906678,0.29038586230888813,0.006143875865275705,0.3021512331947332,0.015862734863737203,65.0,28.87213189218974,-0.7555555555555559,0.991382623497527
Static-Greedy,1,,0.0,4.0,0.0,5.920917898360531,0.0,0.0026827365669584583,0.0,0.40790821016394685,0.0,1.7871667212787656e-07,0.0,0.3719165167289224,0.0,0.3875689403426398,0.0,0.34261868457153516,0.0,87.0,0.0,-1.5000000000000002,0.0
Region_Aware_Greedy,1,,0.0,4.0,0.0,6.012038567533118,0.0,0.002449090451760382,0.0,0.3987961432466882,0.0,2.3303607445512853e-05,0.0,0.3470956730272329,0.0,0.3826151877970887,0.0,0.24026937922044295,0.0,57.0,0.0,0.49999999999999956,0.0
